Republic Airline	YX	12	11158178211	10	18639605	12	1284615	2018
Mesa Airlines  	YV	13	8251766479	11	14293179	14	695068	2018
Envoy Air	MQ	15	6499261881	14	13644617	13	1227198	2018
Endeavor 	9E	14	6851079714	12	13761095	17	595869	2018
PSA Airlines  	OH	16	5292012095	15	13613918	15	670908	2018
Sun Country Airlines 	SY	18	3645742575	24	2485287	16	616442	2018
Compass Airlines	CP	19	3607578002	19	6438740	21	241211	2018
Horizon Air	QX	22	2591830903	18	7210509	19	510333	2018
ExpressJet Airlines  	EV	17	4542822192	17	9260676	18	564201	2018
GoJet Airlines   	G7	21	2799588299	20	5246737	20	257057	2018
Air Wisconsin Airlines  	ZW	24	1398557977	21	3852854	/N	/N	2018
Trans States Airlines	AX	23	1583598404	23	3451208	/N	/N	2018
Piedmont Airlines	PT	25	1026254478	22	3782306	/N	/N	2018
Commutair 	C5	26	657841266	26	1875497	/N	/N	2018
Silver Airways	3M	27	154069194	27	685699	/N	/N	2018
Era Aviation	7H	29	72742063	29	396905	/N	/N	2018
Peninsula Airways	KS	28	85605210	35	172163	/N	/N	2018
Contour Airlines	LF	49	4490102	56	17437	/N	/N	2018
Cape Air	9K	30	59822023	28	540455	/N	/N	2018
Boutique Air	4B	31	40837018	34	172459	/N	/N	2018
Elite Airways	2HQ	32	39191994	48	41943	/N	/N	2018
Seaborne Virgin Islands	SEB	35	25696252	30	226699	/N	/N	2018
Hageland Aviation Service	H6	37	21905635	31	223969	/N	/N	2018
Sun Air Express 	1RQ	41	16069808	38	95436	/N	/N	2018
Empire Airlines	EM	42	13283901	33	190256	/N	/N	2018
Multi-Aero   	0MQ	38	18193442	40	78762	/N	/N	2018
Key Lime Air	38Q	43	12603779	49	41633	/N	/N	2018
Wright Air Service	8V	44	10154787	47	48473	/N	/N	2018
Grant Aviation	GV	45	8659576	37	108898	/N	/N	2018
Mokulele Flight Services  	MW	40	16313025	32	217079	/N	/N	2018
Bering Air  	8E	46	7768276	41	71478	/N	/N	2018
ADVANCED AIR LLC	AN	52	2042223	67	7541	/N	/N	2018
Tradewind Aviation	04Q	47	6772951	50	34560	/N	/N	2018
Kalinin Aviation (Alaska Seaplanes)	J5	48	4648392	44	64833	/N	/N	2018
Watermakers Air	3BQ	77	208484	78	1290	/N	/N	2018
Kenmore Air Harbor	KAH	50	3741675	43	65819	/N	/N	2018
Charter Air Transport	1AQ	36	22938730	46	49646	/N	/N	2018
Vieques Air Link  	VI	53	1978573	42	69842	/N	/N	2018
Star Marianas Air 	1SQ	56	1785515	39	87228	/N	/N	2018
Air Sunshine 	AAT	58	1633798	61	12549	/N	/N	2018
Iliamna Air Taxi	V8	55	1816086	63	9680	/N	/N	2018
Air Unlimited Charter Services	2TQ	57	1701966	70	6619	/N	/N	2018
Island Air Express	I4	54	1850435	53	25121	/N	/N	2018
Venture Travel   	K3	64	498560	52	30937	/N	/N	2018
City Wings 	1QQ	60	989100	54	21980	/N	/N	2018
Yute Commuter Service	K2	61	722172	55	20828	/N	/N	2018
Tropic Ocean Airways	2LQ	72	317105	73	4570	/N	/N	2018
Tatonduk 	5V	66	470728	77	2105	/N	/N	2018
Rectrix Aviation	3DQ	71	329655	64	9535	/N	/N	2018
New England Airlines  	NEW	63	584477	51	34381	/N	/N	2018
Island Air Service	2O	62	633705	59	13388	/N	/N	2018
Warbelow	4W	59	1062218	66	8227	/N	/N	2018
Air Charter (Air Flamenco)	1YQ	75	253446	72	4782	/N	/N	2018
Katmai Air	KAT	68	426272	60	13321	/N	/N	2018
Air Excursions  	X4	69	369316	65	8568	/N	/N	2018
Pacific Airways  	3F	67	467094	62	11549	/N	/N	2018
Harris Air Services	HBQ	65	474826	69	7285	/N	/N	2018
Smokey Bay Air  	2E	70	356322	57	16534	/N	/N	2018
Friday Harbor Seaplanes	WST	74	261520	75	3269	/N	/N	2018
Tanana Air Service	Z3	73	274241	71	5285	/N	/N	2018
Grand Canyon Airlines 	YR	79	102350	79	1075	/N	/N	2018
Gem Air	22Q	80	69678	/N	/N	/N	/N	2018
Arctic Transportation	7S	/N	/N	80	867	/N	/N	2018
Reeve Air Alaska 	RVQ	/N	/N	/N	/N	/N	/N	2018
40-Mile Air	Q5	/N	/N	/N	/N	/N	/N	2018
Alaska Air Transit	2EQ	/N	/N	/N	/N	/N	/N	2018
Ellis Air Taxi  	ELL	/N	/N	/N	/N	/N	/N	2018
Maritime Helicopters	3AQ	76	238459	76	2247	/N	/N	2018
Spernak Airways  	SNK	/N	/N	/N	/N	/N	/N	2018
Delta Air Lines  	DL	1	2.17589E+11	2	162493994	1	47126335	2019
United Airlines	UA	2	2.13119E+11	4	116255636	3	43258541	2019
American Airlines	AA	3	2.12833E+11	3	155784648	2	45761125	2019
Southwest Airlines 	WN	4	1.31349E+11	1	162681079	4	22427753	2019
JetBlue Airways	B6	5	53619355173	5	42836468	6	8094008	2019
Alaska Airlines  	AS	6	50357433518	7	35452332	5	8774664	2019
Spirit Airlines	NK	7	35245226424	8	33868007	7	3830536	2019
Frontier Airlines  	F9	8	24166696466	9	22666424	10	2508349	2019
SkyWest Airlines  	OO	9	22627549294	6	42328839	8	2910753	2019
Hawaiian Airlines  	HA	10	17792113608	16	11520063	9	2830131	2019
Allegiant Air	G4	11	13127712166	15	14933055	11	1745985	2019
Republic Airline	YX	12	11382204471	10	18844915	13	1349429	2019
Mesa Airlines  	YV	13	8862027313	13	15049426	15	729236	2019
Envoy Air	MQ	14	7524856245	14	15045236	12	1385341	2019
Endeavor 	9E	15	7332584977	11	15127402	17	653164	2019
PSA Airlines  	OH	16	6081711424	12	15092232	14	813871	2019
Sun Country Airlines 	SY	17	4692069622	23	3520684	16	701383	2019
Compass Airlines	CP	18	3382527870	18	6343566	21	228479	2019
Horizon Air	QX	19	3217095154	17	7841796	18	450969	2019
ExpressJet Airlines  	EV	20	2911929085	19	6031433	19	369401	2019
GoJet Airlines   	G7	21	2361457510	21	4605508	20	265164	2019
Air Wisconsin Airlines  	ZW	22	1545651683	22	4106349	/N	/N	2019
Trans States Airlines	AX	23	1471821397	24	3040336	/N	/N	2019
Piedmont Airlines	PT	24	1420097670	20	5030306	/N	/N	2019
Commutair 	C5	25	924456688	25	2363605	/N	/N	2019
Silver Airways	3M	26	142902586	26	557890	/N	/N	2019
Era Aviation	7H	27	71319107	28	379201	/N	/N	2019
Peninsula Airways	KS	28	69169319	34	141765	/N	/N	2019
Contour Airlines	LF	29	54425216	32	181123	/N	/N	2019
Cape Air	9K	30	51750630	27	481055	/N	/N	2019
Boutique Air	4B	31	42827676	33	178940	/N	/N	2019
Elite Airways	2HQ	32	26368688	50	24031	/N	/N	2019
Seaborne Virgin Islands	SEB	33	25018358	30	209169	/N	/N	2019
Hageland Aviation Service	H6	34	19238806	29	227063	/N	/N	2019
Sun Air Express 	1RQ	35	16823352	37	99216	/N	/N	2019
Empire Airlines	EM	36	13931166	31	197584	/N	/N	2019
Multi-Aero   	0MQ	37	13491411	44	58347	/N	/N	2019
Key Lime Air	38Q	38	13486636	45	39474	/N	/N	2019
Wright Air Service	8V	39	11366328	43	58652	/N	/N	2019
Grant Aviation	GV	40	9766985	35	123083	/N	/N	2019
Mokulele Flight Services  	MW	41	8995436	36	118411	/N	/N	2019
Bering Air  	8E	42	7878532	40	75858	/N	/N	2019
ADVANCED AIR LLC	AN	43	6462566	49	27049	/N	/N	2019
Tradewind Aviation	04Q	44	5537861	47	28680	/N	/N	2019
Kalinin Aviation (Alaska Seaplanes)	J5	45	5265149	41	72118	/N	/N	2019
Watermakers Air	3BQ	46	4338805	52	22563	/N	/N	2019
Kenmore Air Harbor	KAH	47	4037849	42	68436	/N	/N	2019
Charter Air Transport	1AQ	48	3987217	65	7585	/N	/N	2019
Vieques Air Link  	VI	49	2275046	39	76442	/N	/N	2019
Star Marianas Air 	1SQ	50	2157286	38	97531	/N	/N	2019
Air Sunshine 	AAT	51	1982751	56	16535	/N	/N	2019
Iliamna Air Taxi	V8	52	1818213	62	9787	/N	/N	2019
Air Unlimited Charter Services	2TQ	53	1536232	67	5688	/N	/N	2019
Island Air Express	I4	54	1224177	53	21538	/N	/N	2019
Venture Travel   	K3	55	1217755	54	19403	/N	/N	2019
City Wings 	1QQ	56	1066185	51	23692	/N	/N	2019
Yute Commuter Service	K2	57	1017092	48	28138	/N	/N	2019
Tropic Ocean Airways	2LQ	58	773568	61	10588	/N	/N	2019
Tatonduk 	5V	59	643944	71	2828	/N	/N	2019
Rectrix Aviation	3DQ	60	631954	55	18565	/N	/N	2019
New England Airlines  	NEW	61	596785	46	35105	/N	/N	2019
Island Air Service	2O	62	583316	60	12632	/N	/N	2019
Warbelow	4W	63	522639	69	4427	/N	/N	2019
Air Charter (Air Flamenco)	1YQ	64	476700	58	12935	/N	/N	2019
Katmai Air	KAT	65	409568	59	12799	/N	/N	2019
Air Excursions  	X4	66	407817	63	9244	/N	/N	2019
Pacific Airways  	3F	67	352662	64	8557	/N	/N	2019
Harris Air Services	HBQ	68	351440	66	5808	/N	/N	2019
Smokey Bay Air  	2E	69	303819	57	13457	/N	/N	2019
Friday Harbor Seaplanes	WST	70	269200	70	3365	/N	/N	2019
Tanana Air Service	Z3	71	258607	68	5075	/N	/N	2019
Grand Canyon Airlines 	YR	72	123926	73	1416	/N	/N	2019
Gem Air	22Q	73	66202	76	417	/N	/N	2019
Arctic Transportation	7S	74	63285	74	972	/N	/N	2019
Reeve Air Alaska 	RVQ	75	56561	79	347	/N	/N	2019
40-Mile Air	Q5	76	48087	75	502	/N	/N	2019
Alaska Air Transit	2EQ	77	37584	78	348	/N	/N	2019
Ellis Air Taxi  	ELL	78	35985	77	359	/N	/N	2019
Maritime Helicopters	3AQ	79	13363	72	1912	/N	/N	2019
Spernak Airways  	SNK	80	3933	80	56	/N	/N	2019
