Seaborne Virgin Islands	SEB	48	11899120	45	202972	/N	/N	2011
Hageland Aviation Service	H6	45	19836972	46	186704	/N	/N	2011
Sun Air Express 	1RQ	/N	/N	/N	/N	/N	/N	2011
Empire Airlines	EM	/N	/N	/N	/N	/N	/N	2011
Multi-Aero   	0MQ	55	4292336	59	27980	/N	/N	2011
Key Lime Air	38Q	/N	/N	/N	/N	/N	/N	2011
Wright Air Service	8V	54	4784156	60	27713	/N	/N	2011
Grant Aviation	GV	49	9396043	48	112227	/N	/N	2011
Mokulele Flight Services  	MW	/N	/N	/N	/N	/N	/N	2011
Bering Air  	8E	52	6638376	55	63704	/N	/N	2011
ADVANCED AIR LLC	AN	/N	/N	/N	/N	/N	/N	2011
Tradewind Aviation	04Q	63	1201117	71	5841	/N	/N	2011
Kalinin Aviation (Alaska Seaplanes)	J5	68	419940	70	6690	/N	/N	2011
Watermakers Air	3BQ	/N	/N	/N	/N	/N	/N	2011
Kenmore Air Harbor	KAH	53	6385176	52	79866	/N	/N	2011
Charter Air Transport	1AQ	58	2907846	64	14159	/N	/N	2011
Vieques Air Link  	VI	59	2793058	51	94692	/N	/N	2011
Star Marianas Air 	1SQ	/N	/N	/N	/N	/N	/N	2011
Air Sunshine 	AAT	69	371523	73	4266	/N	/N	2011
Iliamna Air Taxi	V8	62	1763860	66	9454	/N	/N	2011
Air Unlimited Charter Services	2TQ	/N	/N	/N	/N	/N	/N	2011
Island Air Express	I4	/N	/N	/N	/N	/N	/N	2011
Venture Travel   	K3	76	108578	77	1865	/N	/N	2011
City Wings 	1QQ	/N	/N	/N	/N	/N	/N	2011
Yute Commuter Service	K2	/N	/N	/N	/N	/N	/N	2011
Tropic Ocean Airways	2LQ	/N	/N	/N	/N	/N	/N	2011
Tatonduk 	5V	/N	/N	/N	/N	/N	/N	2011
Rectrix Aviation	3DQ	/N	/N	/N	/N	/N	/N	2011
New England Airlines  	NEW	71	324088	61	19064	/N	/N	2011
Island Air Service	2O	66	693248	63	14377	/N	/N	2011
Warbelow	4W	50	7755214	58	39872	/N	/N	2011
Air Charter (Air Flamenco)	1YQ	/N	/N	/N	/N	/N	/N	2011
Katmai Air	KAT	72	245760	68	7662	/N	/N	2011
Air Excursions  	X4	64	950037	62	17095	/N	/N	2011
Pacific Airways  	3F	67	551826	65	13799	/N	/N	2011
Harris Air Services	HBQ	/N	/N	/N	/N	/N	/N	2011
